row_id,engagement_score
89198,3.748539666785762
89199,3.748539666785762
89200,3.1921733290701426
89201,3.781198059623447
89202,3.4359636560604034
89203,3.8127823313160927
89204,3.385234457254258
89205,3.828482007948594
89206,3.361404933299746
89207,3.7388548491385953
89208,3.788187311130919
89209,3.788187311130919
89210,3.3326511512432306
89211,3.818239560845716
89212,3.1043220804622815
89213,3.2022663693243936
89214,3.1276258331479783
89215,3.748539666785762
89216,3.818239560845716
89217,3.7948060790161926
89218,3.7283661893312434
89219,3.7388548491385953
89220,3.416461355103222
89221,3.7575335792819047
89222,3.412923478410234
89223,3.823466664562535
89224,3.788187311130919
89225,3.385234457254258
89226,3.748539666785762
89227,3.097881790551731
89228,3.4092922138509176
89229,3.781198059623447
89230,3.773795135019072
89231,3.138040841349352
89232,3.8127823313160927
89233,3.4017292562136268
89234,3.326119060741781
89235,3.3326511512432306
89236,3.788187311130919
89237,3.7659273784362255
89238,3.7659273784362255
89239,3.412923478410234
89240,3.3937276383491026
89241,3.788187311130919
89242,3.7659273784362255
89243,3.7169307922107224
89244,3.7948060790161926
89245,3.161268086161587
89246,3.3561075191862546
89247,3.3506013005239446
89248,3.7575335792819047
89249,3.110497183636534
89250,3.7575335792819047
89251,3.3937276383491026
89252,3.385234457254258
89253,3.4232750183270286
89254,3.7659273784362255
89255,3.7575335792819047
89256,3.1524096922159783
89257,3.161268086161587
89258,3.773795135019072
89259,3.12213176851169
89260,3.8127823313160927
89261,3.1429868224571296
89262,3.7948060790161926
89263,3.3388932198999624
89264,3.7575335792819047
89265,3.1164276559350093
89266,3.7283661893312434
89267,3.3561075191862546
89268,3.3761867050917798
89269,3.8070741280336446
89270,3.371431756921181
89271,3.3506013005239446
89272,3.416461355103222
89273,3.7283661893312434
89274,3.7659273784362255
89275,3.2054813196290675
89276,3.40556259615924
89277,3.3326511512432306
89278,3.7659273784362255
89279,3.060764830632699
89280,3.3561075191862546
89281,3.385234457254258
89282,3.7388548491385953
89283,3.748539666785762
89284,3.748539666785762
89285,3.7169307922107224
89286,3.773795135019072
89287,3.0841095409482215
89288,3.3326511512432306
89289,3.8070741280336446
89290,3.1775321121621842
89291,3.3448694929559815
89292,3.818239560845716
89293,3.748539666785762
89294,3.361404933299746
89295,3.1524096922159783
89296,3.788187311130919
89297,3.7659273784362255
89298,3.8010911535792
89299,3.7659273784362255
89300,3.7169307922107224
89301,3.773795135019072
89302,3.1736315245728437
89303,3.385234457254258
89304,3.773795135019072
89305,3.8070741280336446
89306,3.371431756921181
89307,3.3326511512432306
89308,3.1524096922159783
89309,3.773795135019072
89310,3.748539666785762
89311,3.412923478410234
89312,3.371431756921181
89313,3.833301852248511
89314,3.7659273784362255
89315,3.1696246229951144
89316,3.4017292562136268
89317,3.385234457254258
89318,3.773795135019072
89319,3.7575335792819047
89320,3.773795135019072
89321,3.3977863761934297
89322,3.097881790551731
89323,3.8010911535792
89324,3.7388548491385953
89325,3.361404933299746
89326,3.7575335792819047
89327,3.8070741280336446
89328,3.371431756921181
89329,3.371431756921181
89330,3.2054813196290675
89331,3.818239560845716
89332,3.361404933299746
89333,3.773795135019072
89334,3.3665085322684876
89335,3.788187311130919
89336,3.3761867050917798
89337,3.3895461662646196
89338,3.7388548491385953
89339,3.823466664562535
89340,3.7388548491385953
89341,3.7659273784362255
89342,3.361404933299746
89343,3.371431756921181
89344,3.0521102552700863
89345,3.3937276383491026
89346,3.371431756921181
89347,3.773795135019072
89348,3.361404933299746
89349,3.3448694929559815
89350,3.828482007948594
89351,3.773795135019072
89352,3.319269279179486
